window,population,horizon_days,n_events,n_events_nonoverlap,mean_fwd_log_ret,mean_fwd_lo,mean_fwd_hi,mean_fwd_nonoverlap,mean_fwd_nonoverlap_lo,mean_fwd_nonoverlap_hi,uncond_mean_fwd_log_ret,stopping_premium_flat,stopping_premium_flat_lo,stopping_premium_flat_hi,stopping_premium_rotate,stopping_premium_rotate_lo,stopping_premium_rotate_hi,p_negative,autocorr_h
FULL,all_assets,14.0,11403,594,0.002229931474472424,-0.015930123897500988,0.0205812850246873,0.014039349637588482,-0.012132780026110698,0.04471348788677093,0.0022175516212191997,-0.002229931474472424,-0.0205812850246873,0.015930123897500988,0.0016638378135119202,-0.003951624748594172,0.007120600588221754,0.5285451197053407,-0.010436272042165774
FULL,all_assets,21.0,11345,469,0.003952270336605493,-0.0194992049973711,0.028132814128387803,0.01464258611999491,-0.02499543480843404,0.058739615507008326,0.003127048558838212,-0.003952270336605493,-0.028132814128387803,0.0194992049973711,0.00046548785137235906,-0.006332455262429908,0.006859573128542807,0.5267518730718378,0.07252899467741993
FULL,all_assets,30.0,11312,385,-0.0048897862325644895,-0.03269018799841989,0.022331378121355064,0.004831801084296053,-0.04327376794664887,0.05680565951735088,0.00406199767758339,0.0048897862325644895,-0.022331378121355064,0.03269018799841989,0.003951880139512546,-0.004351660794166128,0.01171845253686047,0.5320898161244696,0.07743926103935371
FULL,incumbent,0.25,1314,519,0.00027621919124564033,-0.00203908392084624,0.002725731571439215,0.0003950006239421366,-0.0018450840338265799,0.003006489750205158,5.628231048460353e-05,-0.00027621919124564033,-0.002725731571439215,0.00203908392084624,-0.001073316720797409,-0.0025203682033741025,0.00043252512960658486,0.532724505327245,-0.02493908097934171
FULL,incumbent,0.5,1314,413,-0.00036042790098943597,-0.0034327407312926216,0.00307721972308765,-0.0006928558411149145,-0.0032429456940138903,0.001969123264612742,0.00010980337160211448,0.00036042790098943597,-0.00307721972308765,0.0034327407312926216,-0.0011893816613074743,-0.0034911702062976014,0.0010837749772106002,0.5334855403348554,-0.013037963760011028
FULL,incumbent,1.0,1314,325,0.001798330876945221,-0.0031764726780955225,0.007698307711110258,-0.0007575587854115315,-0.004864951030310752,0.004266962573827003,0.00021580624610589911,-0.001798330876945221,-0.007698307711110258,0.0031764726780955225,-0.0014577354032266098,-0.005434340193253207,0.0020834460249031296,0.4794520547945205,-0.049654471067905395
FULL,incumbent,2.0,1314,263,0.0027676349228755916,-0.005223110894210476,0.012363286475287425,-0.00384055097593497,-0.009900407750402351,0.002933661176403359,0.00040605162064482513,-0.0027676349228755916,-0.012363286475287425,0.005223110894210476,-0.001800009383616918,-0.00780226530103213,0.003347183913032674,0.4878234398782344,-0.0038352542014157874
FULL,incumbent,3.0,1314,223,-0.00279891072083727,-0.01625412795239814,0.011035221379527897,-0.0032882481736072485,-0.012589752922957142,0.007761485080518298,0.0005885243194594364,0.00279891072083727,-0.011035221379527897,0.01625412795239814,-4.017310123171363e-05,-0.008786350335087761,0.007738630389611546,0.4931506849315068,0.014859895777665387
FULL,incumbent,5.0,1314,196,-0.010421669948358978,-0.026368625292068067,0.005737873026761472,-0.01162622332709131,-0.02355870843142643,-0.0004720445919266348,0.0009547892259166996,0.010421669948358978,-0.005737873026761472,0.026368625292068067,0.0019807253464313823,-0.008136691572500219,0.011491750147521088,0.5060882800608828,0.017782993487242885
FULL,incumbent,7.0,1314,173,-0.008917083827984592,-0.027053639802887313,0.009879235658245422,-0.010503354733277463,-0.02611715906394958,0.0068929496067815415,0.0012444302616963843,0.008917083827984592,-0.009879235658245422,0.027053639802887313,0.0028401262238830316,-0.010824468493179742,0.014971232417598401,0.5547945205479452,-0.06648926412509731
