trial,market,strategy,return_pct,max_dd_pct,vol,c,liquidated
21,spot,kelly_regime_v4,38.62616650312991,18.10883312340823,0.38934947133802567,,False
21,spot,vol-matched rebalanced c=0.353,17.217993360383144,8.572340915005437,0.1862607752769652,,False
21,spot,vol-matched static     c=0.293,14.776675303096054,9.502993203344836,0.18991479113559387,,False
21,spot,notional-matched reb.  c=0.283,12.88473148452458,7.081125037228343,0.1507345976123599,,False
21,spot,per-window matched hold,37.19512958796673,17.421943100777167,0.3913812747228906,0.7351927231058225,False
21,futures,buy_and_hold,252.05850320202993,73.42717616438986,1.7730988642175909,,False
21,futures,kelly_regime_v4,53.105278982279636,14.258242537180788,0.4289125451415286,,False
21,futures,vol-matched rebalanced c=0.353,17.248091969587477,8.570518148390633,0.1862480008400828,,False
21,futures,vol-matched static     c=0.293,14.76909996589053,9.48997977789958,0.18963385194325486,,False
21,futures,notional-matched reb.  c=0.283,12.904781232991681,7.081027213346494,0.150726710371613,,False
21,futures,per-window matched hold,40.9323208639264,20.245290992438303,0.44897022050323987,0.8099494614399946,False
22,spot,buy_and_hold,311.35103798653336,62.8313094515274,0.9298804492779967,,False
22,spot,kelly_regime_v4,245.0501727410528,22.526660915444197,0.4252731321000963,,False
22,spot,vol-matched rebalanced c=0.353,89.10316038126894,28.354326242478773,0.32803966522052325,,False
22,spot,vol-matched static     c=0.293,91.2164149610379,42.54050504581538,0.4999200723437027,,False
22,spot,notional-matched reb.  c=0.283,64.81876424789368,23.490500458253994,0.2633433969730797,,False
22,spot,per-window matched hold,120.85636259545898,35.0089224990087,0.42727350089451527,0.45788425424593004,False
22,futures,buy_and_hold,-98.19548021356785,99.2786232143234,1.1853231680017404,,True
22,futures,kelly_regime_v4,331.13471709323824,19.458557290620327,0.4416096903687154,,False
22,futures,vol-matched rebalanced c=0.353,89.26704932798033,28.348512434468194,0.32794496286509994,,False
22,futures,vol-matched static     c=0.293,91.09406523996158,42.51756211212133,0.4994846363247544,,False
22,futures,notional-matched reb.  c=0.283,64.95328394130233,23.484021457275055,0.26334057829284346,,False
22,futures,per-window matched hold,125.228917239227,36.08717296567134,0.44613824351979664,0.4754834210779365,False
23,spot,buy_and_hold,-7.3852163107574365,38.588417393822674,0.49567214458734576,,False
23,spot,kelly_regime_v4,0.33606637962204644,16.891977866829812,0.23582307639173175,,False
23,spot,vol-matched rebalanced c=0.353,-1.7395509581151547,15.420132861190716,0.17560874253819714,,False
23,spot,vol-matched static     c=0.293,-2.163644482881766,12.219201328418842,0.12757521672652852,,False
23,spot,notional-matched reb.  c=0.283,-1.5001124017560263,12.575455098871469,0.14057723520485219,,False
23,spot,per-window matched hold,-2.9640696103900077,20.06771695981838,0.23031770566578455,0.47377990176515666,False
23,futures,buy_and_hold,-98.19548021356786,98.86731836738953,3.0121950142147313,,True
23,futures,kelly_regime_v4,0.6750383341829647,17.86644805267283,0.25111711170283413,,False
23,futures,vol-matched rebalanced c=0.353,-1.7160079364671343,15.415542587393766,0.17559736144249782,,False
23,futures,vol-matched static     c=0.293,-2.145783904492704,12.199744921584754,0.12735476587286854,,False
23,futures,notional-matched reb.  c=0.283,-1.4814711189844676,12.572003458413075,0.14057101192668503,,False
23,futures,per-window matched hold,-3.0763418606807313,21.257930938677237,0.24657088604203245,0.5048785605656961,False
24,spot,buy_and_hold,110.738227932465,31.543392347544586,0.4603277383640057,,False
24,spot,kelly_regime_v4,60.20898563775876,23.418453525319038,0.33251528350303766,,False
24,spot,vol-matched rebalanced c=0.353,32.60849444289815,12.068257683489684,0.16206481310367948,,False
24,spot,vol-matched static     c=0.293,32.442943554839275,14.176229194512965,0.18730162289492006,,False
24,spot,notional-matched reb.  c=0.283,25.99032336034348,9.660787772922532,0.13229321709444214,,False
24,spot,per-window matched hold,76.7974720050895,24.493199330015976,0.3438058013108315,0.723932645826637,False
24,futures,buy_and_hold,553.109146584754,53.07680924257764,0.9883172567167312,,False
24,futures,kelly_regime_v4,80.52861040431554,23.916491491159185,0.373798451493747,,False
24,futures,vol-matched rebalanced c=0.353,32.64677579957515,12.066478116605618,0.16206148807710988,,False
24,futures,vol-matched static     c=0.293,32.40884228932788,14.158036578481529,0.18704518584078547,,False
24,futures,notional-matched reb.  c=0.283,26.02533039229764,9.656674818462974,0.13229101102870658,,False
24,futures,per-window matched hold,89.08929113825306,25.718385267840517,0.37468524471689046,0.8138294342783399,False
25,spot,buy_and_hold,159.05537888446216,32.54338690406502,0.4738053126374988,,False
25,spot,kelly_regime_v4,112.42711290453889,23.4870511592121,0.3417769737181712,,False
25,spot,vol-matched rebalanced c=0.353,45.537753597678446,11.708562159318873,0.16912303943331516,,False
25,spot,vol-matched static     c=0.293,46.598403962082614,17.22945353667969,0.21022192792196162,,False
25,spot,notional-matched reb.  c=0.283,36.08473516010618,9.432259144043767,0.135178786215989,,False
25,spot,per-window matched hold,103.54456268011685,24.689637975919496,0.3463294799525847,0.7131957766109875,False
25,futures,buy_and_hold,794.3321599712262,66.96441479093977,1.1700387488653214,,False
25,futures,kelly_regime_v4,143.91867342560113,23.74484197111127,0.4068200523256288,,False
25,futures,vol-matched rebalanced c=0.353,45.59786815896316,11.700478920825171,0.16911766359369765,,False
25,futures,vol-matched static     c=0.293,46.54304825151525,17.21055229009632,0.2099574293277127,,False
