strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests
r190_v3_b10,spot,1000.0,1023.0903051166969,23.090305116696868,2.309030511669685,32,15.625,357.32796904744384,-148.6168039087567,0.7215720348967563,38.998940357603026,0.19135547730049787,54.24657534246575,203.33111334203443,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,149,0.20410958904109588,32,0.043835616438356165,16.84931506849315,0.18429389815254243,0.2922774737478073,0.2791539718852633,169
r190_v3_b20,futures_5x,1000.0,1038.5461237980749,38.54612379807486,3.854612379807487,29,17.24137931034483,359.09740725250265,-125.55315158449208,5.250814713832602,32.49659577636758,0.21034776304940977,53.56164383561644,18.4191851491023,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,113.72750290307162,Deribit 8h aggregation,88,0.12054794520547946,29,0.03972602739726028,9.58904109589041,0.2024838166990323,0.2642734259970433,0.24238399540232256,548
r190_v3_b20,spot,1000.0,12702.504423278337,11702.504423278337,1170.2504423278335,37,16.666666666666668,7464.593231754874,-210.56711451693707,316.2839033318469,48.88053634680728,1.7838943831509961,65.12638793824625,816.5923600580574,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,185,0.1266255989048597,36,0.024640657084188913,10.8145106091718,1.9037449441465892,0.3694918240116525,0.39432356128418816,498
r190_v3_b20,spot,1000.0,1010.4593115705163,10.45931157051632,1.0459311570516272,30,13.333333333333334,333.31860800031086,-145.98796652819323,0.34864371901724406,39.07936735654325,0.16781345418024052,53.35616438356164,176.50354741620404,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,117,0.16027397260273973,30,0.0410958904109589,13.287671232876713,0.16075544012066045,0.2869566140416246,0.26737377280310615,137
r190_v4_b05,futures_5x,1000.0,1005.3324824639294,5.332482463929409,0.5332482463929367,45,11.11111111111111,383.5811507006488,-45.33948656028428,2.985340806042121,35.86232157662334,0.16427220263391645,56.18721461187214,23.49536470389716,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,129.00785380796762,Deribit 8h aggregation,122,0.16712328767123288,45,0.06164383561643835,13.698630136986301,0.14983881712201602,0.28309446188746357,0.27755790076247305,1254
r190_v4_b05,spot,1000.0,12855.222978554626,11855.222978554626,1185.5222978554625,61,16.666666666666668,7425.275976613006,-182.91306899688328,194.34791768122332,47.59127721518791,1.833229526242111,67.7159384744087,1325.1573947441636,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,383,0.2621492128678987,60,0.04106776180698152,19.50718685831622,1.9256970495809322,0.36617716769259606,0.3918951523692988,809
r190_v4_b05,spot,1000.0,908.8617818743415,-91.13821812565845,-9.113821812565847,45,8.88888888888889,308.11014892683204,-58.518968857616585,-2.025293736125735,39.76350356831454,-0.006689723871186226,56.02739726027397,242.3186609579733,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,205,0.2808219178082192,45,0.06164383561643835,22.19178082191781,-0.0209373875766168,0.2898775820515009,0.28758625702801344,289
r190_v4_b10,futures_5x,1000.0,1005.3324824639294,5.332482463929409,0.5332482463929367,45,11.11111111111111,383.5811507006488,-45.33948656028428,2.985340806042121,35.86232157662334,0.16427220263391645,56.18721461187214,23.49536470389716,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,129.00785380796762,Deribit 8h aggregation,122,0.16712328767123288,45,0.06164383561643835,13.698630136986301,0.14983881712201602,0.28309446188746357,0.27755790076247305,1002
r190_v4_b10,spot,1000.0,13706.797885496615,12706.797885496615,1270.6797885496615,61,16.666666666666668,7915.3323805088585,-196.18378226454823,208.30816205732168,46.37216100033984,1.8561101496083514,67.7159384744087,1392.5928983440851,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,361,0.24709103353867215,60,0.04106776180698152,18.34360027378508,1.9486570594013963,0.3709690799163613,0.3933739801059271,761
r190_v4_b10,spot,1000.0,899.3246324331787,-100.67536756682125,-10.067536756682127,45,8.88888888888889,298.3541508612471,-58.08252935178193,-2.237230390373792,40.61953276748026,-0.017832630309248657,56.02739726027397,239.37641169231668,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,197,0.26986301369863014,45,0.06164383561643835,21.095890410958905,-0.033544422345879385,0.294789570263707,0.2911748636328907,280
r190_v4_b20,futures_5x,1000.0,1060.9806155411766,60.980615541176576,6.098061554117651,36,13.88888888888889,383.5811507006488,-47.84916154420307,5.257026517726791,35.862321576623444,0.24913497193337572,54.657534246575345,22.393587886338448,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,128.27233909698543,Deribit 8h aggregation,103,0.1410958904109589,36,0.049315068493150684,11.506849315068493,0.24390402916135098,0.2741897928092805,0.26793133671020614,706
r190_v4_b20,spot,1000.0,15234.37447930302,14234.37447930302,1423.437447930302,46,22.22222222222222,8704.794537451637,-218.27284207958223,309.442923463109,39.54764186298991,1.9545386881884985,64.84119514791999,1333.3197595218583,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,223,0.15263518138261464,45,0.030800821355236138,12.183436002737851,2.0747909571489918,0.35909801667284574,0.38063875856772644,542
r190_v4_b20,spot,1000.0,955.5002403590372,-44.49975964096279,-4.449975964096275,36,11.11111111111111,316.00732927951407,-58.87225321329626,-1.236104434471188,39.02933561039622,0.07335664632701357,54.47488584474886,208.5255474298806,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,143,0.1958904109589041,36,0.049315068493150684,15.342465753424657,0.06396293915361656,0.2876645243620649,0.276018472559954,217
