strategy,cell,control,reference,risk_valid,control_to_candidate_vol,days,sharpe,control_sharpe,d_sharpe,d_sharpe_lo,d_sharpe_hi,growth,control_growth,d_growth,d_growth_lo,d_growth_hi,drawdown,control_drawdown,d_drawdown,d_drawdown_lo,d_drawdown_hi
r190_base_b05,inner_val,parent,kelly_regime,True,1.0309262611695678,730,0.01233929380473094,-0.02633612473373848,0.03867541853846942,-0.2583946604699454,0.32119807365078296,-0.09278884020385514,-0.12477591055746284,0.031987070353607705,-0.15893033455836628,0.2284619818735023,44.88428692807951,45.89568697303868,-1.0114000449591671,-7.926683858257049,6.845597785371524
r190_base_b05,inner_val,matched_hold,match_r190_base_b05_inner_val_i1,True,0.9961898220016719,730,0.01233929380473094,0.02334001514453515,-0.01100072133980421,-0.9256936689382855,0.7652490832050814,-0.09278884020385514,-0.08491891778569349,-0.007869922418161646,-0.5467555064324866,0.49526621780719954,44.88428692807951,43.56443564325062,1.3198512848288928,-18.526163043864393,22.831999670252443
r190_base_b10,inner_val,parent,kelly_regime,False,1.0515115466123508,730,-0.007782447471071257,-0.02633612473373848,0.018553677262667222,-0.2941280543045105,0.31335602710817834,-0.10161516588188624,-0.12477591055746284,0.023160744675576606,-0.1640279450938478,0.21905077015747215,44.64195588555096,45.89568697303868,-1.253731087487715,-8.216177566092867,6.7635544897858795
r190_base_b10,inner_val,matched_hold,match_r190_base_b10_inner_val_i1,True,0.9975631146433774,730,-0.007782447471071257,0.01783200201273614,-0.025614449483807398,-0.9432151792139336,0.7568763986781524,-0.10161516588188624,-0.0850007779805626,-0.016614387901323635,-0.5471149798451164,0.4761831097985712,44.64195588555096,42.960514868460805,1.6814410170901581,-17.993160169641072,23.123826894431556
r190_base_b20,inner_val,parent,kelly_regime,True,1.0309056491936839,730,-0.05926942665692316,-0.02633612473373848,-0.03293330192318468,-0.34422742679317925,0.26761862806019543,-0.1384265698044384,-0.12477591055746284,-0.01365065924697556,-0.21780399479986923,0.18117327358873583,43.8826493707736,45.89568697303868,-2.0130376022650793,-8.191306020929263,7.33350514358517
r190_base_b20,inner_val,matched_hold,match_r190_base_b20_inner_val_i1,True,0.9961898457689254,730,-0.05926942665692316,0.0233395675331567,-0.08260899419007986,-0.9779869967436792,0.6838722753398858,-0.1384265698044384,-0.08492289745427883,-0.05350367235015957,-0.5999583074897162,0.45057285681601256,43.8826493707736,43.5651197627173,0.31752960805629726,-18.40749360289847,22.95479092633622
r190_blend_b10,inner_val,parent,kelly_regime_v4,False,1.0506827109161982,730,0.036861120186458554,-0.07684920643700077,0.11371032662345933,-0.3864464797532927,0.5382359470509324,-0.06305427216739062,-0.1406099099053084,0.07755563773791777,-0.1955438605349553,0.35523780701204377,41.98089396509667,42.52425212494285,-0.5433581598461785,-12.027545877724913,9.349887149721418
r190_blend_b10,inner_val,matched_hold,match_r190_blend_b10_inner_val_i1,True,1.0026611411012034,730,0.036861120186458554,0.006457859707364491,0.030403260479094064,-0.8711061112597522,0.7543122396270544,-0.06305427216739062,-0.0813860869532334,0.01833181478584278,-0.4635632523396795,0.4593896230182277,41.98089396509667,40.716720448381245,1.2641735167154238,-19.080891887099448,19.52895066480223
r190_v4_b05,funded_val,parent,kelly_regime_v4,True,1.0424644335137032,730,0.14983881712202204,0.11720806225776201,0.032630754864260036,-0.2940743169863091,0.2809364927183911,0.00531831512173736,-0.017598196801888233,0.022916511923625593,-0.1352876473097251,0.18590505644502334,35.198945886262756,33.78851125662099,1.4104346296417631,-7.81949558915153,6.299971763753448
r190_v4_b05,funded_val,matched_hold,match_r190_v4_b05_funded_val_i1,True,1.002109414907648,730,0.14983881712202204,-0.08402220690441242,0.23386102402643447,-0.6039648072069138,0.9189901806338047,0.00531831512173736,-0.1279739405021157,0.13329225562385305,-0.29525562771682146,0.5698074021978536,35.198945886262756,40.26034634216975,-5.061400455906991,-23.578115390743495,13.454347648562807
