split,market,sizer,gate,k,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_target
inner-validation,spot,plain,evidence,3.0,1179.8775564827888,0.23965613209940564,25.26985610333947,0.46567044214573067,27,9.409128062087394,0.008973436912070797,False,0.13990846069609117
inner-validation,spot,plain,evidence,4.0,1219.5354141618095,0.29105985204963974,29.98624165785885,0.48721571705894356,22,10.043040504685049,0.022614585169061646,False,0.1865446142614549
inner-validation,spot,plain,evidence,6.0,1308.7201431414603,0.3764778921412415,36.679831791373786,0.5463663966559857,15,10.21298710677368,0.04845846451348635,False,0.27981692139218234
inner-validation,spot,conditional,vote,0.25,1034.59791540123,0.07376794928827529,10.383700367893583,0.2679008525166309,183,13.783535888393953,0.0,False,0.07277776157796008
inner-validation,spot,conditional,vote,0.5,1038.560016557424,0.15129556764792307,19.124437521510657,0.20095189797960367,256,34.99749590026109,0.0,False,0.14555552315592016
inner-validation,spot,conditional,vote,0.75,1038.8946093473658,0.22357668687956367,27.42924641789792,0.19732152628040825,263,55.83255571818793,0.006434773496925502,False,0.21833328473388022
inner-validation,spot,conditional,vote,1.0,1054.359542506705,0.29063494528885236,33.20107427520113,0.23661573507936204,258,74.74929314539398,0.022647925964382504,False,0.2911110463118403
inner-validation,spot,conditional,vote,1.5,1110.9358142781532,0.4139151345275561,41.16010017985191,0.33439998823622386,253,113.00914513180423,0.09205869885164775,False,0.43666656946776045
inner-validation,spot,conditional,vote,2.0,1131.748959695481,0.48582840711210845,44.85929644064578,0.37073999753041015,236,128.7275128268196,0.32883550127885763,False,0.5822220926236806
inner-validation,spot,conditional,vote,3.0,1058.226940670747,0.5411411897754362,49.780954202233,0.3231871212858589,168,129.40286308716648,0.40922492176820524,False,0.8733331389355209
inner-validation,spot,conditional,vote,4.0,988.430635243217,0.572421406424642,53.18283244849859,0.2762051714137397,134,135.99621085039567,0.4650231242230404,False,1.1644441852473613
inner-validation,spot,conditional,vote,6.0,975.7975678340003,0.5906852712465189,55.837851602228696,0.2747190158769445,106,143.17903522557086,0.5598062423494782,False,1.7466662778710418
inner-validation,spot,conditional,evidence,0.25,963.0557766505985,0.03297866004038086,7.1095717777769325,-0.5554164035036638,7,0.6013692361314436,0.0,False,0.007999108690859123
inner-validation,spot,conditional,evidence,0.5,999.6617873166663,0.053315627522403354,6.473241834395344,0.023483543073626035,11,1.3525418713948136,0.0,False,0.015998217381718246
inner-validation,spot,conditional,evidence,0.75,1042.7765972062691,0.06854862006910911,7.852177867221653,0.34043767915823764,25,2.4828661812768282,0.0,False,0.023997326072577378
inner-validation,spot,conditional,evidence,1.0,1055.3917085371374,0.09119662169056901,10.346878191487432,0.34180048831620385,25,3.374260520326613,0.0,False,0.03199643476343649
inner-validation,spot,conditional,evidence,1.5,1062.314699766684,0.13150673172916005,14.411921152170759,0.2960932235467589,22,4.400076999645621,0.004429562806913929,False,0.047994652145154755
inner-validation,spot,conditional,evidence,2.0,1050.7437800294242,0.1618345659757645,16.471194158827316,0.23422250936843492,20,5.255851668049952,0.004943963649007159,False,0.06399286952687298
inner-validation,spot,conditional,evidence,3.0,1085.3726687684025,0.21775237213795895,21.69969866319324,0.29742362413162915,18,6.651474935674191,0.005563149847823084,False,0.09598930429030951
inner-validation,spot,conditional,evidence,4.0,1122.6071203355664,0.25859411801150023,24.09202668528754,0.3534080176642424,18,7.295155800330194,0.015198639695550908,False,0.12798573905374597
inner-validation,spot,conditional,evidence,6.0,1214.4898656296227,0.3206387033688145,26.41503715617984,0.4639656944607942,13,7.298115132227227,0.02852066891161355,False,0.19197860858061902
inner-validation,futures,plain,vote,0.25,1048.6110783919694,0.08964845890614132,9.019016521284449,0.3101110044954638,104,4.553292155828929,0.0,False,0.0856629957226844
inner-validation,futures,plain,vote,0.5,1055.6228712970642,0.18633841942618953,22.029583274342183,0.23884362849623317,123,12.921655953387315,0.0,False,0.1713259914453688
inner-validation,futures,plain,vote,0.75,727.8211353320678,0.22740725682353677,36.443615156649024,-0.5860215266892702,146,18.064039980601855,0.0,False,0.2569889871680532
inner-validation,futures,plain,vote,1.0,947.6897371329956,0.3219255963194233,39.276298884476866,0.07753407113952572,167,33.12344268787266,0.0,False,0.3426519828907376
inner-validation,futures,plain,vote,1.5,825.2816789776357,0.49278683880888147,52.969662069127175,0.05161980730200602,223,59.70274141955817,0.0,False,0.5139779743361064
inner-validation,futures,plain,vote,2.0,677.0832603292464,0.646055977299509,64.5940148894434,0.02148572054797891,240,81.78480558278896,0.0,False,0.6853039657814752
inner-validation,futures,plain,vote,3.0,357.59096629859624,0.977797474541983,82.37488282556235,-0.03596011261662209,290,110.05493548877254,0.0,False,1.0279559486722127
inner-validation,futures,plain,vote,4.0,186.250453377606,1.2931138912075,92.36422952245944,-0.0006960467455080186,290,126.8137953791123,0.014803313122460741,False,1.3706079315629505
inner-validation,futures,plain,vote,6.0,50.16679629105549,1.824759513608061,98.13395883914932,0.10021499691390703,290,103.31699028930156,0.127604749634442,False,2.0559118973444255
inner-validation,futures,plain,evidence,0.25,1143.4948895139864,0.13441200311138937,15.870814328598698,0.5670491346944494,2,0.22240220771957592,0.0,False,0.011659038391340932
inner-validation,futures,plain,evidence,0.5,1012.1644795909581,0.10273129675292929,12.850806837350184,0.11033812095644979,2,0.2911679741860522,0.0,False,0.023318076782681864
inner-validation,futures,plain,evidence,0.75,1146.79067438311,0.1167788062143925,9.05736056650768,0.6460291066614265,3,0.5244937966563423,0.0,False,0.03497711517402279
inner-validation,futures,plain,evidence,1.0,1124.0426400037743,0.13586073198541998,14.032225877359753,0.4991453642390619,3,0.6608626589373514,0.0,False,0.04663615356536373
inner-validation,futures,plain,evidence,1.5,1216.1579365920106,0.2347048537017775,22.987126541474293,0.5351411026663817,6,1.4384741461302764,0.0,False,0.06995423034804558
inner-validation,futures,plain,evidence,2.0,1438.933236954405,0.2725912952668294,25.186609747423866,0.8051908308006478,6,1.9075227766842684,0.0,False,0.09327230713072746
inner-validation,futures,plain,evidence,3.0,1260.7396118722556,0.2649244702215405,25.75719825544877,0.57067835317005,25,5.979323896720993,0.0,False,0.13990846069609117
inner-validation,futures,plain,evidence,4.0,1304.411818547521,0.3456161817535304,33.910069798707035,0.5581041106925354,28,9.136718465141373,0.0,False,0.1865446142614549
inner-validation,futures,plain,evidence,6.0,1382.604698831166,0.511597020370218,47.49888363271108,0.5731674849146474,28,15.757274201645945,0.0,False,0.27981692139218234
inner-validation,futures,conditional,vote,0.25,1044.7674833185977,0.0809701137969713,8.823141498723624,0.31148105631584905,105,4.358201536631649,0.0,False,0.07277776157796008
inner-validation,futures,conditional,vote,0.5,1062.0316340924392,0.14754305798792677,16.128464283383405,0.27815049731552516,112,9.845888201545757,0.0,False,0.14555552315592016
inner-validation,futures,conditional,vote,0.75,1033.9962153965012,0.24177825434750005,27.59498434875583,0.19025132085251226,137,19.616788153548775,0.0,False,0.21833328473388022
inner-validation,futures,conditional,vote,1.0,1097.3231896559776,0.2868068892923459,32.3074529591911,0.3057837233605379,143,28.12460439882191,0.0,False,0.2911110463118403
